label,message,label_num
ham,go until jurong point crazy available only in bugis n great world la e buffet cine there got amore wat,0
ham,ok lar joking wif u oni,0
spam,free entry in a wkly comp to win fa cup final tkts st may text fa to to receive entry questionstd txt ratetcs apply overs,1
ham,u dun say so early hor u c already then say,0
ham,nah i dont think he goes to usf he lives around here though,0
spam,freemsg hey there darling its been weeks now and no word back id like some fun you up for it still tb ok xxx std chgs to send å£ to rcv,1
ham,even my brother is not like to speak with me they treat me like aids patent,0
ham,as per your request melle melle oru minnaminunginte nurungu vettam has been set as your callertune for all callers press to copy your friends callertune,0
spam,winner as a valued network customer you have been selected to receivea å£ prize reward to claim call claim code kl valid hours only,1
spam,had your mobile months or more u r entitled to update to the latest colour mobiles with camera for free call the mobile update co free on,1
ham,im gonna be home soon and i dont want to talk about this stuff anymore tonight k ive cried enough today,0
spam,six chances to win cash from to pounds txt csh and send to cost pday days tsandcs apply reply hl info,1
spam,urgent you have won a week free membership in our å£ prize jackpot txt the word claim to no tc wwwdbuknet lccltd pobox ldnwarw,1
ham,ive been searching for the right words to thank you for this breather i promise i wont take your help for granted and will fulfil my promise you have been wonderful and a blessing at all times,0
ham,i have a date on sunday with will,0
spam,xxxmobilemovieclub to use your credit click the wap link in the next txt message or click here httpwap xxxmobilemovieclubcomnqjkgighjjgcbl,1
ham,oh kim watching here,0
ham,eh u remember how spell his name yes i did he v naughty make until i v wet,0
ham,fine if thatåõs the way u feel thatåõs the way its gota b,0
spam,england v macedonia dont miss the goalsteam news txt ur national team to eg england to trywales scotland txtì¼ poboxoxwwq,1
ham,is that seriously how you spell his name,0
ham,iû÷m going to try for months ha ha only joking,0
ham,so ì pay first lar then when is da stock comin,0
ham,aft i finish my lunch then i go str down lor ard smth lor u finish ur lunch already,0
ham,ffffffffff alright no way i can meet up with you sooner,0
ham,just forced myself to eat a slice im really not hungry tho this sucks mark is getting worried he knows im sick when i turn down pizza lol,0
ham,lol your always so convincing,0
ham,did you catch the bus are you frying an egg did you make a tea are you eating your moms left over dinner do you feel my love,0
ham,im back amp were packing the car now ill let you know if theres room,0
ham,ahhh work i vaguely remember that what does it feel like lol,0
ham,wait thats still not all that clear were you not sure about me being sarcastic or that thats why x doesnt want to live with us,0
ham,yeah he got in at and was v apologetic n had fallen out and she was actin like spoilt child and he got caught up in that till but we wont go there not doing too badly cheers you,0
ham,k tell me anything about you,0
ham,for fear of fainting with the of all that housework you just did quick have a cuppa,0
spam,thanks for your subscription to ringtone uk your mobile will be charged å£month please confirm by replying yes or no if you reply no you will not be charged,1
ham,yup ok i go home look at the timings then i msg ì again xuhui going to learn on nd may too but her lesson is at am,0
ham,oops ill let you know when my roommates done,0
ham,i see the letter b on my car,0
ham,anything lor u decide,0
ham,hello hows you and how did saturday go i was just texting to see if youd decided to do anything tomo not that im trying to invite myself or anything,0
ham,pls go ahead with watts i just wanted to be sure do have a great weekend abiola,0
ham,did i forget to tell you i want you i need you i crave you but most of all i love you my sweet arabian steed mmmmmm yummy,0
spam,rodger burns msg we tried to call you re your reply to our sms for a free nokia mobile free camcorder please call now for delivery tomorrow,1
ham,who are you seeing,0
ham,great i hope you like your man well endowed i am ltgt inches,0
ham,no callsmessagesmissed calls,0
ham,didnt you get hep b immunisation in nigeria,0
ham,fair enough anything going on,0
ham,yeah hopefully if tyler cant do it i could maybe ask around a bit,0
ham,u dont know how stubborn i am i didnt even want to go to the hospital i kept telling mark im not a weak sucker hospitals are for weak suckers,0
ham,what you thinked about me first time you saw me in class,0
ham,a gram usually runs like ltgt a half eighth is smarter though and gets you almost a whole second gram for ltgt,0
ham,k fyi x has a ride early tomorrow morning but hes crashing at our place tonight,0
ham,wow i never realized that you were so embarassed by your accomodations i thought you liked it since i was doing the best i could and you always seemed so happy about the cave im sorry i didnt and dont have more to give im sorry i offered im sorry your room was so embarassing,0
spam,sms ac sptv the new jersey devils and the detroit red wings play ice hockey correct or incorrect end reply end sptv,1
ham,do you know what mallika sherawat did yesterday find out now lturlgt,0
spam,congrats year special cinema pass for is yours call now c suprman v matrix starwars etc all free bxipwe pm dont miss out,1
ham,sorry ill call later in meeting,0
ham,tell where you reached,0
ham,yesgauti and sehwag out of odi series,0
ham,your gonna have to pick up a burger for yourself on your way home i cant even move pain is killing me,0
ham,ha ha ha good joke girls are situation seekers,0
ham,its a part of checking iq,0
ham,sorry my roommates took forever it ok if i come by now,0
ham,ok lar i double check wif da hair dresser already he said wun cut v short he said will cut until i look nice,0
spam,as a valued customer i am pleased to advise you that following recent review of your mob no you are awarded with a å£ bonus prize call,1
ham,today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,0
spam,urgent ur awarded a complimentary trip to eurodisinc trav acoentry or å£ to claim txt dis to å£morefrmmob shracomorsglsuplt ls aj,1
spam,did you hear about the new divorce barbie it comes with all of kens stuff,1
ham,i plane to give on this month end,0
ham,wah lucky man then can save money hee,0
ham,finished class where are you,0
ham,hi babe im at home now wanna do something xx,0
ham,kkwhere are youhow did you performed,0
ham,u can call me now,0
ham,i am waiting machan call me once you free,0
ham,thats cool i am a gentleman and will treat you with dignity and respect,0
ham,i like you peoples very much but am very shy pa,0
ham,does not operate after ltgt or what,0
ham,its not the same here still looking for a job how much do tas earn there,0
ham,sorry ill call later,0
ham,k did you call me just now ah,0
ham,ok i am on the way to home hi hi,0
ham,you will be in the place of that man,0
ham,yup next stop,0
ham,i call you later dont have network if urgnt sms me,0
ham,for real when u getting on yo i only need more tickets and one more jacket and im done i already used all my multis,0
ham,yes i started to send requests to make it but pain came back so im back in bed double coins at the factory too i gotta cash in all my nitros,0
ham,im really not up to it still tonight babe,0
ham,ela kanoil download come wen ur free,0
ham,yeah do donû÷t stand to close tho youû÷ll catch something,0
ham,sorry to be a pain is it ok if we meet another night i spent late afternoon in casualty and that means i havent done any of y stuffmoro and that includes all my time sheets and that sorry,0
ham,smile in pleasure smile in pain smile when trouble pours like rain smile when sum hurts u smile becoz someone still loves to see u smiling,0
spam,please call our customer service representative on between ampm as you have won a guaranteed å£ cash or å£ prize,1
ham,havent planning to buy later i check already lido only got show in e afternoon u finish work already,0
spam,your free ringtone is waiting to be collected simply text the password mix to to verify get usher and britney fml,1
ham,watching telugu moviewat abt u,0
ham,i see when we finish we have loads of loans to pay,0
